Anime,Character,Role,Favorites,char_url
Shoujo☆Kageki Revue Starlight Movie,"Kagura, Hikari",Main,131,https://myanimelist.net/character/151675/Hikari_Kagura
Shoujo☆Kageki Revue Starlight Movie,"Saijou, Claudine",Main,157,https://myanimelist.net/character/151676/Claudine_Saijou
Shoujo☆Kageki Revue Starlight Movie,"Tendou, Maya",Main,178,https://myanimelist.net/character/151677/Maya_Tendou
Shoujo☆Kageki Revue Starlight Movie,"Tsuyuzaki, Mahiru",Main,118,https://myanimelist.net/character/151679/Mahiru_Tsuyuzaki
Hotaru no Haka,Seita,Main,274,https://myanimelist.net/character/494/Seita
Hotaru no Haka,Setsuko,Main,448,https://myanimelist.net/character/495/Setsuko
Sora yori mo Tooi Basho,"Kobuchizawa, Shirase",Main,1323,https://myanimelist.net/character/157148/Shirase_Kobuchizawa
Sora yori mo Tooi Basho,"Miyake, Hinata",Main,880,https://myanimelist.net/character/157170/Hinata_Miyake
Sora yori mo Tooi Basho,"Shiraishi, Yuzuki",Main,350,https://myanimelist.net/character/157171/Yuzuki_Shiraishi
Sora yori mo Tooi Basho,"Tamaki, Mari",Main,363,https://myanimelist.net/character/157147/Mari_Tamaki
Yuru Camp△ Season 2,"Inuyama, Aoi",Main,729,https://myanimelist.net/character/152123/Aoi_Inuyama
Yuru Camp△ Season 2,"Kagamihara, Nadeshiko",Main,3261,https://myanimelist.net/character/152120/Nadeshiko_Kagamihara
Yuru Camp△ Season 2,"Oogaki, Chiaki",Main,264,https://myanimelist.net/character/152122/Chiaki_Oogaki
Yuru Camp△ Season 2,"Saitou, Ena",Main,246,https://myanimelist.net/character/152121/Ena_Saitou
Yuru Camp△ Season 2,"Shima, Rin",Main,5886,https://myanimelist.net/character/152119/Rin_Shima
Kara no Kyoukai Movie 5: Mujun Rasen,"Araya, Souren",Main,80,https://myanimelist.net/character/5269/Souren_Araya
Kara no Kyoukai Movie 5: Mujun Rasen,"Enjou, Tomoe",Main,71,https://myanimelist.net/character/16743/Tomoe_Enjou
Kara no Kyoukai Movie 5: Mujun Rasen,"Kokutou, Mikiya",Main,543,https://myanimelist.net/character/5267/Mikiya_Kokutou
